City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,San Quintin,MX,30.4833,-115.95,62.29,60,0,4.52,clear sky
79,Avarua,CK,-21.2078,-159.775,75.25,83,81,4.61,broken clouds
80,Aykhal,RU,66.0,111.5,-4.86,100,100,5.57,overcast clouds
81,Pitimbu,BR,-7.4706,-34.8086,88.39,64,24,12.44,few clouds
82,Khatanga,RU,71.9667,102.5,-30.87,100,7,2.82,clear sky
83,Bay Roberts,CA,47.5999,-53.2648,33.06,73,67,5.01,broken clouds
84,Longyearbyen,SJ,78.2186,15.6401,10.24,56,75,6.91,broken clouds
85,Dali,CN,25.7,100.1833,44.33,67,1,2.01,clear sky
86,Yellowknife,CA,62.456,-114.3525,-35.88,74,40,3.44,light snow
87,Tuktoyaktuk,CA,69.4541,-133.0374,-23.8,76,0,9.22,clear sky
88,Vaitape,PF,-16.5167,-151.75,80.15,77,57,13.33,light rain
89,Laguna,US,38.421,-121.4238,48.02,93,0,0.0,mist
90,Ostersund,SE,63.1792,14.6357,19.85,100,100,8.05,overcast clouds
91,Paamiut,GL,61.994,-49.6678,11.75,59,0,7.34,clear sky
92,Pangkalanbuun,ID,-2.6833,111.6167,69.82,96,100,2.8,overcast clouds
93,Kongolo,CD,-5.3833,27.0,68.2,96,56,1.07,broken clouds
94,Kindu,CD,-2.95,25.95,69.91,96,100,2.21,light rain
95,Toora-Khem,RU,52.4675,96.11,-16.01,100,83,2.28,broken clouds
96,Sitka,US,57.0531,-135.33,23.04,80,100,9.51,light snow
97,Kapaa,US,22.0752,-159.319,73.72,78,0,10.36,clear sky
98,Ribeira Grande,PT,38.5167,-28.7,61.2,63,40,20.71,scattered clouds
99,Port Hedland,AU,-20.3167,118.5667,82.45,61,40,8.05,scattered clouds
100,Port Alfred,ZA,-33.5906,26.891,66.18,92,100,3.38,light rain
101,Nuevo Ideal,MX,24.8875,-105.0728,60.46,18,0,3.85,clear sky
102,Sterling,US,39.0062,-77.4286,27.59,63,0,31.07,clear sky
103,Mandan,US,46.8267,-100.8896,-11.22,73,0,20.71,clear sky
104,Kieta,PG,-6.2167,155.6333,77.36,91,100,1.48,light rain
105,San Pedro,PH,14.35,121.0167,78.03,70,75,3.44,broken clouds
106,Isabela,PH,6.7085,121.9711,78.89,86,100,0.45,overcast clouds
107,Batemans Bay,AU,-35.7167,150.1833,63.1,80,12,3.2,few clouds
108,Malanje,AO,-9.5402,16.341,65.93,95,86,5.08,light rain
109,Asyut,EG,27.181,31.1837,62.78,47,74,11.34,broken clouds
110,Muromtsevo,RU,56.3724,75.2418,12.27,94,100,12.24,light snow
111,Cape Town,ZA,-33.9258,18.4232,73.38,74,75,8.05,broken clouds
112,Wembley,AU,-31.9333,115.8,74.01,72,0,5.75,clear sky
113,Coquimbo,CL,-29.9533,-71.3436,69.53,68,0,13.8,clear sky
114,Waipawa,NZ,-41.4122,175.5153,57.02,94,100,3.2,light rain
115,Nome,US,64.5011,-165.4064,26.11,50,0,25.32,clear sky
116,Kautokeino,NO,69.0125,23.0412,-0.92,100,100,2.1,overcast clouds
117,Sisimiut,GL,66.9395,-53.6735,10.26,60,15,10.49,few clouds
118,Yar-Sale,RU,66.8333,70.8333,-0.87,99,98,5.48,overcast clouds
119,Lysyye Gory,RU,51.5506,44.8414,33.13,64,100,10.25,overcast clouds
120,Provideniya,RU,64.3833,-173.3,15.06,79,3,23.17,clear sky
121,Zheleznodorozhnyy,RU,55.7503,38.0042,36.01,99,100,12.12,overcast clouds
122,Ayan,RU,56.45,138.1667,11.53,83,100,13.82,overcast clouds
123,Georgetown,MY,5.4112,100.3354,81.9,84,20,0.0,few clouds
124,Vestmannaeyjar,IS,63.4427,-20.2734,31.19,51,40,6.91,scattered clouds
125,Kangaatsiaq,GL,68.3065,-53.4641,6.64,83,34,9.06,scattered clouds
126,Thompson,CA,55.7435,-97.8558,-18.24,69,20,6.91,few clouds
127,Lorengau,PG,-2.0226,147.2712,82.22,82,100,8.81,overcast clouds
128,Los Llanos De Aridane,ES,28.6585,-17.9182,69.12,65,20,3.44,few clouds
