City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
287,Isiolo,KE,2022-12-20 21:40:00,0.3546,37.5822,67.78,65,98,4.54
288,Busselton,AU,2022-12-20 21:38:47,-33.65,115.3333,58.95,82,14,12.28
289,New Norfolk,AU,2022-12-20 21:37:01,-42.7826,147.0587,60.89,60,62,3.0
290,Mataura,NZ,2022-12-20 21:32:25,-46.1927,168.8643,55.06,67,100,5.21
291,Bubaque,GW,2022-12-20 21:40:02,11.2833,-15.8333,81.36,73,35,10.76
292,Vila Do Maio,CV,2022-12-20 21:40:03,15.1333,-23.2167,75.99,77,17,18.92
293,Hilo,US,2022-12-20 21:39:30,19.7297,-155.09,81.25,67,0,5.99
294,Hermanus,ZA,2022-12-20 21:40:03,-34.4187,19.2345,62.8,69,5,14.32
295,Bonavista,CA,2022-12-20 21:40:04,48.6499,-53.1147,34.41,77,71,24.92
296,Albany,US,2022-12-20 21:40:05,42.6001,-73.9662,29.05,76,45,5.17
297,Nanortalik,GL,2022-12-20 21:40:06,60.1432,-45.2371,19.36,59,1,5.26
298,Lavrentiya,RU,2022-12-20 21:40:06,65.5833,-171.0,14.11,75,1,9.46
299,Saint-Joseph,RE,2022-12-20 21:40:07,-21.3667,55.6167,73.78,84,72,9.71
300,Lebu,CL,2022-12-20 21:40:07,-37.6167,-73.65,63.84,80,22,11.07
301,Pisco,PE,2022-12-20 21:40:08,-13.7,-76.2167,75.25,73,75,8.05
302,Katobu,ID,2022-12-20 21:40:08,-4.9408,122.5276,75.72,90,99,3.71
303,Hithadhoo,MV,2022-12-20 21:40:09,-0.6,73.0833,80.67,71,100,13.11
304,Hermanus,ZA,2022-12-20 21:40:03,-34.4187,19.2345,62.8,69,5,14.32
305,Cape Town,ZA,2022-12-20 21:37:20,-33.9258,18.4232,65.1,73,20,25.32
306,Yellowknife,CA,2022-12-20 21:40:10,62.456,-114.3525,-28.68,75,20,6.91
307,Savannah Bight,HN,2022-12-20 21:40:11,16.45,-85.85,81.05,72,1,17.36
308,Chuy,UY,2022-12-20 21:40:11,-33.6971,-53.4616,69.49,70,0,11.27
309,Richards Bay,ZA,2022-12-20 21:40:12,-28.783,32.0377,67.01,93,100,10.83
310,Hilo,US,2022-12-20 21:39:30,19.7297,-155.09,81.25,67,0,5.99
311,Qaqortoq,GL,2022-12-20 21:40:13,60.7167,-46.0333,7.9,63,0,7.81
312,Hamilton,US,2022-12-20 21:40:14,39.1834,-84.5333,45.84,42,0,1.01
313,Jieshi,CN,2022-12-20 21:40:15,22.8134,115.8257,58.57,59,93,14.56
314,Jamestown,US,2022-12-20 21:37:15,42.097,-79.2353,32.02,55,75,3.0
315,Dikson,RU,2022-12-20 21:30:48,73.5069,80.5464,-1.19,96,100,7.96
316,Bayonet Point,US,2022-12-20 21:40:16,28.3267,-82.6834,65.19,92,100,4.59
317,Birjand,IR,2022-12-20 21:37:08,32.8663,59.2211,28.87,59,0,6.91
318,Khatanga,RU,2022-12-20 21:40:17,71.9667,102.5,-33.72,98,80,6.91
319,Provideniya,RU,2022-12-20 21:35:49,64.3833,-173.3,24.91,68,0,11.18
320,Rikitea,PF,2022-12-20 21:38:49,-23.1203,-134.9692,76.68,87,47,19.35
321,Hithadhoo,MV,2022-12-20 21:40:09,-0.6,73.0833,80.67,71,100,13.11
322,Busselton,AU,2022-12-20 21:41:19,-33.65,115.3333,58.95,82,14,12.28
323,Byron Bay,AU,2022-12-20 21:41:20,-28.65,153.6167,65.95,72,93,9.55
324,Hithadhoo,MV,2022-12-20 21:32:35,-0.6,73.0833,80.67,71,100,13.11
325,Nisia Floresta,BR,2022-12-20 21:41:21,-6.0911,-35.2086,81.41,75,0,10.13
326,Castro,BR,2022-12-20 21:41:22,-24.7911,-50.0119,60.33,96,44,8.79
327,Hilo,US,2022-12-20 21:39:30,19.7297,-155.09,81.25,67,0,5.99
328,Mataura,NZ,2022-12-20 21:32:25,-46.1927,168.8643,55.06,67,100,5.21
329,Sobradinho,BR,2022-12-20 21:41:23,-12.8333,-39.1,74.53,76,42,6.2
330,Aksarka,RU,2022-12-20 21:41:23,66.5606,67.7975,-14.96,90,100,16.89
331,Lishui,CN,2022-12-20 21:41:24,28.4604,119.9103,42.35,86,78,2.28
332,Shimoda,JP,2022-12-20 21:41:25,34.6667,138.95,46.0,70,34,5.64
333,Quthing,LS,2022-12-20 21:41:25,-30.4,27.7003,56.48,74,0,6.26
334,Te Anau,NZ,2022-12-20 21:41:26,-45.4167,167.7167,56.79,64,65,0.92
335,Ushuaia,AR,2022-12-20 21:38:42,-54.8,-68.3,55.06,67,75,8.05
336,Asau,RO,2022-12-20 21:41:27,46.4333,26.4,25.72,28,68,6.46
